worksheet,item,count,item_location,invoice_no,description,agency,pc,peripherals,status,item_user,item_value,purchase_date,install_date,currency,
1,Printer,18,NBO,,Epson LX-317,ANSTE TOURS,G8GY315190,,Deployed,,70,10/01/10,,USD,
1,Printer,19,NBO,,Epson LX-318,ARCHERS TRAVEL,G8GY314365,,Deployed,,70,10/01/10,,USD,
1,Printer,20,NBO,,Epson LX-319,ASLAN,G8GY549153,,Deployed,,70,10/01/10,,USD,
1,Printer,21,NBO,,Epson LX-320,BARBRA TRAVEL LTD,G8GY549148,,Deployed,,70,10/01/10,,USD,
1,Printer,22,NBO,,Epson LX-321,BESTIMES TRAVEL & TOURS CO.LTD,G8GY741219,,Deployed,,70,10/01/10,,USD,
1,Printer,23,NBO,,Epson LX-322,BOMA HOLIDAYS,G8GY556807,,Deployed,,70,10/01/10,,USD,
1,Printer,24,MBA,,Epson LX-323,BOMA TRAVEL SERVICES,G8GY548883,,Deployed,,70,10/01/10,,USD,
1,Printer,25,NBO,,Epson LX-324,BRIDGING THE WORLD TRAVEL,G8GY557166,,Deployed,,70,10/01/10,,USD,
1,Printer,26,NBO,,Epson LX-325,BRIGHTWAYS TRAVEL,G8GY548880,,Deployed,,70,10/01/10,,USD,
1,Printer,27,MBA,,Epson LX-326,BUNSON,G8GY314658,,Deployed,,70,10/01/10,,USD,
1,Printer,28,NBO,,Epson LX-327,BUNSON BAT,G8GY549268,,Deployed,,70,10/01/10,,USD,
1,Printer,29,NBO,,Epson LX-328,BUNSON TRAVEL PARKPLACE,G8GY549125,,Deployed,,70,10/01/10,,USD,
1,Printer,30,NBO,,Epson LX-329,BUNSON WORLD BANK(IFC),G8GY555653,,Deployed,,70,10/01/10,,USD,
1,Printer,31,NBO,,Epson LX-330,BUSH BLAZERS,G8GY314701,,Deployed,,70,10/01/10,,USD,
1,Printer,32,NBO,,Epson LX-331,BUSHTREK SAFARIS,G8GY555811,,Deployed,,70,10/01/10,,USD,
1,Printer,33,NBO,,Epson LX-332,CATALYST TRAVEL,G8GY555775,,Deployed,,70,10/01/10,,USD,
1,Printer,34,NBO,,Epson LX-333,CHARLESTON TOWN,G8GY204235,,Deployed,,70,10/01/10,,USD,
1,Printer,35,NBO,,Epson LX-334,CHARLESTON WESTLANDS,G8GY206303,,Deployed,,70,10/01/10,,USD,
1,Printer,36,NBO,,Epson LX-335,CHRONICLE TRAVEL,G8GY557173,,Deployed,,70,10/01/10,,USD,
1,Printer,37,KSM,,Epson LX-336,CHRONICLES KISUMU,G8GY548871,,Deployed,,70,10/01/10,,USD,
1,Printer,38,NBO,,Epson LX-337,CONNECT TRAVEL,G8GY549158,,Deployed,,70,10/01/10,,USD,
1,Printer,39,NBO,,Epson LX-338,CONTINENTAL DESTINATIONS,G8GY550820,,Deployed,,70,10/01/10,,USD,
1,Printer,40,NBO,,Epson LX-339,COTTS TRAVEL,G8GY548870,,Deployed,,70,10/01/10,,USD,
1,Printer,41,NBO,,Epson LX-340,CRANE TRAVEL LTD,G8GY550823,,Deployed,,70,10/01/10,,USD,
1,Printer,42,NBO,,Epson LX-341,CROWN TOURS,G8GY741826,,Deployed,,70,10/01/10,,USD,
1,Printer,43,NBO,,Epson LX-342,DAYMU TRAVEL,G8GY555806,,Deployed,,70,10/01/10,,USD,
1,Printer,44,NBO,,Epson LX-343,DEWCIS STORE,G8GY741214,,Stock,,70,10/01/10,,USD,
1,Printer,45,NBO,,Epson LX-344,DEWCIS STORE,G8GY739979,,Stock,,70,10/01/10,,USD,
1,Printer,46,NBO,,Epson LX-345,DEWCIS STORE,G8GY739980,,Stock,,70,10/01/10,,USD,
1,Printer,47,NBO,,Epson LX-346,DEWCIS STORE,G8GY739981,,Stock,,70,10/01/10,,USD,
1,Printer,48,NBO,,Epson LX-347,DEWCIS STORE,G8GY739988,,Stock,,70,10/01/10,,USD,
1,Printer,49,NBO,,Epson LX-348,DEWCIS STORE,G8GY739990,,Stock,,70,10/01/10,,USD,
1,Printer,50,NBO,,Epson LX-349,DEWCIS STORE,G8GY739991,,Stock,,70,10/01/10,,USD,
1,Printer,51,NBO,,Epson LX-350,DEWCIS STORE,G8GY739992,,Stock,,70,10/01/10,,USD,
1,Printer,52,NBO,,Epson LX-351,DEWCIS STORE,G8GY739994,,Stock,,70,10/01/10,,USD,
1,Printer,53,NBO,,Epson LX-352,DEWCIS STORE,G8GY740765,,Stock,,70,10/01/10,,USD,
1,Printer,54,NBO,,Epson LX-353,DEWCIS STORE,G8GY740800,,Stock,,70,10/01/10,,USD,
1,Printer,55,NBO,,Epson LX-354,DEWCIS STORE,G8GY741187,,Stock,,70,10/01/10,,USD,
1,Printer,56,NBO,,Epson LX-355,DEWCIS STORE,G8GY741188,,Stock,,70,10/01/10,,USD,
1,Printer,57,NBO,,Epson LX-356,DEWCIS STORE,G8GY741193,,Stock,,70,10/01/10,,USD,
1,Printer,58,NBO,,Epson LX-357,DEWCIS STORE,G8GY741197,,Stock,,70,10/01/10,,USD,
1,Printer,59,NBO,,Epson LX-358,DEWCIS STORE,G8GY741212,,Stock,,70,10/01/10,,USD,
1,Printer,60,NBO,,Epson LX-359,DEWCIS STORE,G8GY741213,,Stock,,70,10/01/10,,USD,
1,Printer,61,NBO,,Epson LX-360,DEWCIS STORE,G8GY741756,,Stock,,70,10/01/10,,USD,
1,Printer,62,NBO,,Epson LX-361,DEWCIS STORE,G8GY741801,,Stock,,70,10/01/10,,USD,
1,Printer,63,NBO,,Epson LX-362,DEWCIS STORE,G8GY741808,,Stock,,70,10/01/10,,USD,
1,Printer,64,NBO,,Epson LX-363,DEWCIS STORE,G8GY741816,,Stock,,70,10/01/10,,USD,
1,Printer,65,NBO,,Epson LX-364,DEWCIS STORE,G8GY741825,,Stock,,70,10/01/10,,USD,
1,Printer,66,NBO,,Epson LX-365,DEWCIS STORE,G8GY741833,,Stock,,70,10/01/10,,USD,
1,Printer,67,NBO,,Epson LX-366,DEWCIS STORE,G8GY742222,,Stock,,70,10/01/10,,USD,
1,Printer,68,NBO,,Epson LX-367,DEWCIS STORE,G8GY742224,,Stock,,70,10/01/10,,USD,
1,Printer,69,NBO,,Epson LX-368,DEWCIS STORE,G8GY742230,,Stock,,70,10/01/10,,USD,
1,Printer,70,NBO,,Epson LX-369,DEWCIS STORE,G8GY742239,,Stock,,70,10/01/10,,USD,
1,Printer,71,NBO,,Epson LX-370,DEWCIS STORE,G8GY742240,,Stock,,70,10/01/10,,USD,
1,Printer,72,NBO,,Epson LX-371,DEWCIS STORE,G8GY742874,,Stock,,70,10/01/10,,USD,
1,Printer,73,NBO,,Epson LX-372,DEWCIS STORE,G8GY742875,,Stock,,70,10/01/10,,USD,
1,Printer,74,NBO,,Epson LX-373,DEWCIS STORE,G8GY742876,,Stock,,70,10/01/10,,USD,
1,Printer,75,NBO,,Epson LX-374,DEWCIS STORE,G8GY742878,,Stock,,70,10/01/10,,USD,
1,Printer,76,NBO,,Epson LX-375,DEWCIS STORE,G8GY742879,,Stock,,70,10/01/10,,USD,
1,Printer,77,NBO,,Epson LX-376,DEWCIS STORE,G8GY742880,,Stock,,70,10/01/10,,USD,
1,Printer,78,NBO,,Epson LX-377,DEWCIS STORE,G8GY742881,,Stock,,70,10/01/10,,USD,
1,Printer,79,NBO,,Epson LX-378,DEWCIS STORE,G8GY742882,,Stock,,70,10/01/10,,USD,
1,Printer,80,NBO,,Epson LX-379,DEWCIS STORE,G8GY742885,,Stock,,70,10/01/10,,USD,
1,Printer,81,NBO,,Epson LX-380,DEWCIS STORE,G8GY742886,,Stock,,70,10/01/10,,USD,
1,Printer,82,NBO,,Epson LX-381,DEWCIS STORE,G8GY742887,,Stock,,70,10/01/10,,USD,
1,Printer,83,NBO,,Epson LX-382,DEWCIS STORE,G8GY742890,,Stock,,70,10/01/10,,USD,
1,Printer,84,NBO,,Epson LX-383,DEWCIS STORE,G8GY742891,,Stock,,70,10/01/10,,USD,
1,Printer,85,NBO,,Epson LX-384,DEWCIS STORE,G8GY742892,,Stock,,70,10/01/10,,USD,
1,Printer,86,NBO,,Epson LX-385,DEWCIS STORE,G8GY742894,,Stock,,70,10/01/10,,USD,
1,Printer,87,NBO,,Epson LX-386,DEWCIS STORE,G8GY742896,,Stock,,70,10/01/10,,USD,
1,Printer,88,NBO,,Epson LX-387,DEWCIS STORE,G8GY742897,,Stock,,70,10/01/10,,USD,
1,Printer,89,MBA,,Epson LX-388,DIDI,G8GY204934,,Deployed,,70,10/01/10,,USD,
1,Printer,90,NBO,,Epson LX-389,DISCOUNT TOURS AND TRAVEL,G8GY315832,,Deployed,,70,10/01/10,,USD,
1,Printer,91,NBO,,Epson LX-390,DODOWORLD TRAVEL,G8GY742889,,Deployed,,70,10/01/10,,USD,
1,Printer,92,MBA,,Epson LX-391,EAGLE,G8GY555667,,Deployed,,70,10/01/10,,USD,
1,Printer,93,ELD,,Epson LX-392,ELGEYO TRAVEL,G8GY555683,,Deployed,,70,10/01/10,,USD,
1,Printer,94,NBO,,Epson LX-393,ELITE TRAVEL SERVICES,G8GY557194,,Deployed,,70,10/01/10,,USD,
1,Printer,95,NBO,,Epson LX-394,EQUITORIAL TRAVELS LTD,G8GY55662,,Deployed,,70,10/01/10,,USD,
1,Printer,96,NBO,,Epson LX-395,ETTON TRAVEL,G8GY548882,,Deployed,,70,10/01/10,,USD,
1,Printer,97,MBA,,Epson LX-396,EXPRESS,G8GY204221,,Deployed,,70,10/01/10,,USD,
1,Printer,98,NBO,,Epson LX-397,EXPRESS TRAVEL JKIA,G8GY204238,,Deployed,,70,10/01/10,,USD,
1,Printer,99,NBO,,Epson LX-398,EXPRESS TRAVEL USA EMBASSY,G8GY549263,,Deployed,,70,10/01/10,,USD,
1,Printer,100,NBO,,Epson LX-399,EXPRESS TRAVEL-KAREN MAIN OFFICE,G8GY204919,,Deployed,,70,10/01/10,,USD,
1,Printer,101,NBO,,Epson LX-400,EXPRESS TRAVEL-KAREN MAIN OFFICE,G8GY314324,,Deployed,,70,10/01/10,,USD,
1,Printer,102,NBO,,Epson LX-401,EXPRESS TRAVEL-KAREN MAIN OFFICE,G8GY555793,,Deployed,,70,10/01/10,,USD,
1,Printer,103,NBO,,Epson LX-402,EXPRESS TRAVEL-UN,G8GY315456,,Deployed,,70,10/01/10,,USD,
1,Printer,104,NBO,,Epson LX-403,EXPRESS TRAVEL-UN,G8GY425227,,Deployed,,70,10/01/10,,USD,
1,Printer,105,NBO,,Epson LX-404,EXPRESS TRAVEL-UN,G8GY549076,,Deployed,,70,10/01/10,,USD,
1,Printer,106,NBO,,Epson LX-405,EXPRESS UNHCR OFFICE,G8GY548877,,Deployed,,70,10/01/10,,USD,
1,Printer,107,NBO,,Epson LX-406,EXPRESS VERDIC HSE,G8GY557185,,Deployed,,70,10/01/10,,USD,
1,Printer,108,NUU,,Epson LX-407,FAMOUS TRAVEL,G8GY555660,,Deployed,,70,10/01/10,,USD,
1,Printer,109,MBA,,Epson LX-408,FIDA,G8GY314632,,Deployed,,70,10/01/10,,USD,
1,Printer,110,NBO,,Epson LX-409,FLY AIR LTD,G8GY557160,,Deployed,,70,10/01/10,,USD,
1,Printer,111,MBA,,Epson LX-410,FOURWAYS,G8GY549285,,Deployed,,70,10/01/10,,USD,
1,Printer,112,MBA,,Epson LX-411,FRIENDLY,G8GY549264,,Deployed,,70,10/01/10,,USD,
1,Printer,113,NBO,,Epson LX-412,GALILEO KENYA,G8GY555668,,Deployed,,70,10/01/10,,USD,
1,Printer,114,NBO,,Epson LX-413,GEORGE TOWN,G8GY315848,,Deployed,,70,10/01/10,,USD,
1,Printer,115,NBO,,Epson LX-414,GLOBUS TOURS & TRAVEL,G8GY557182,,Deployed,,70,10/01/10,,USD,
1,Printer,116,MBA,,Epson LX-415,GOLDEN MBA,G8GY202472,,Deployed,,70,10/01/10,,USD,
1,Printer,117,NBO,,Epson LX-416,GOODHOPE TRAVEL(CORPORATE),G8GY555664,,Deployed,,70,10/01/10,,USD,
1,Printer,118,NBO,,Epson LX-417,GREATTIMES TRAVEL,G8GY314627,,Deployed,,70,10/01/10,,USD,
1,Printer,119,NBO,,Epson LX-418,HANIF,G8GY549071,,Deployed,,70,10/01/10,,USD,
1,Printer,120,NBO,,Epson LX-419,HANS TRAVEL,G8GY557171,,Deployed,,70,10/01/10,,USD,
1,Printer,121,NBO,,Epson LX-420,HIGHLIGHT BCD TRAVEL,G8GY557183,,Deployed,,70,10/01/10,,USD,
1,Printer,122,NBO,,Epson LX-421,HIGHLIGHT UN,G8GY202476,,Deployed,,70,10/01/10,,USD,
1,Printer,123,NBO,,Epson LX-422,HODMAN TRAVEL,G8GY549292,,Deployed,,70,10/01/10,,USD,
1,Printer,124,NBO,,Epson LX-423,HOUSE OF HOLIDAYS,G8GY204261,,Deployed,,70,10/01/10,,USD,
1,Printer,125,NBO,,Epson LX-424,IMPERIAL AIR SERVICES LTD,G8GY555814,,Deployed,,70,10/01/10,,USD,
1,Printer,126,NBO,,Epson LX-425,INTRA OCEANIC,G8GY314645,,Deployed,,70,10/01/10,,USD,
1,Printer,127,NBO,,Epson LX-426,IQRA TRAVEL EASLEIGH,G8GY557156,,Deployed,,70,10/01/10,,USD,
1,Printer,128,NBO,,Epson LX-427,JET TRAVEL TOWN,G8GY555644,,Deployed,,70,10/01/10,,USD,
1,Printer,129,NBO,,Epson LX-428,JUDETTE TRAVEL,G8GY742877,,Deployed,,70,10/01/10,,USD,
1,Printer,130,NBO,,Epson LX-429,KAMBO TOURS & TRAVEL,G8GY742888,,Deployed,,70,10/01/10,,USD,
1,Printer,131,NBO,,Epson LX-430,KATE FREIGHT & TRAVEL,G8GY742221,,Deployed,,70,10/01/10,,USD,
1,Printer,132,NBO,,Epson LX-431,KENYA CHINA TRAVEL & TOURS,G8GY314669,,Deployed,,70,10/01/10,,USD,
1,Printer,133,NBO,,Epson LX-432,KENYA CHINA TRAVEL & TOURS,G8GY550811,,Deployed,,70,10/01/10,,USD,
1,Printer,134,MBA,,Epson LX-433,KILINDINI TRAVEL KPA,G8GY314704,,Deployed,,70,10/01/10,,USD,
1,Printer,135,MBA,,Epson LX-434,KLASS,G8GY555661,,Deployed,,70,10/01/10,,USD,
1,Printer,136,KSM,,Epson LX-435,LAKE TRAVEL,G8GY555654,,Deployed,,70,10/01/10,,USD,
1,Printer,137,NBO,,Epson LX-436,LINDOS,G8GY557197,,Deployed,,70,10/01/10,,USD,
1,Printer,138,NBO,,Epson LX-437,LONG REN/BAMBOO HUT,G8GY741752,,Deployed,,70,10/01/10,,USD,
1,Printer,139,NBO,,Epson LX-438,LOOKOUT TRAVEL,G8GY204935,,Deployed,,70,10/01/10,,USD,
1,Printer,140,NBO,,Epson LX-439,MAMU TRAVEL & TOURS,G8GY204932,,Deployed,,70,10/01/10,,USD,
1,Printer,141,NBO,,Epson LX-440,MANIAGO TRAVEL & CRUISE,G8GY555655,,Deployed,,70,10/01/10,,USD,
1,Printer,142,MBA,,Epson LX-441,MANTRA,G8GY549146,,Deployed,,70,10/01/10,,USD,
1,Printer,143,NBO,,Epson LX-442,MASAABA TRAVEL,G8GY314650,,Deployed,,70,10/01/10,,USD,
1,Printer,144,NBO,,Epson LX-443,MIGHTY TOURS AND TRAVEL,G8GY740783,,Deployed,,70,10/01/10,,USD,
1,Printer,145,NBO,,Epson LX-444,MONCAL TRAVEL,G8GY204231,,Deployed,,70,10/01/10,,USD,
1,Printer,146,NBO,,Epson LX-445,MUTHAIGA ACK,G8GY314642,,Deployed,,70,10/01/10,,USD,
1,Printer,147,NBO,,Epson LX-446,MUTHAIGA TRAVEL FVB,G8GY742893,,Deployed,,70,10/01/10,,USD,
1,Printer,148,NBO,,Epson LX-447,MUTHAIGA TRAVEL LTD,G8GY740790,,Deployed,,70,10/01/10,,USD,
1,Printer,149,MBA,,Epson LX-448,NOOR,G8GY204236,,Deployed,,70,10/01/10,,USD,
1,Printer,150,NBO,,Epson LX-449,NORDIC TRAVEL/RED CARPET,G8GY314620,,Deployed,,70,10/01/10,,USD,
1,Printer,151,NBO,,Epson LX-450,NORTH & SOUTH TRAVEL LTD,G8GY315187,,Deployed,,70,10/01/10,,USD,
1,Printer,152,MBA,,Epson LX-451,NORTHCOAST MBA,G8GY314654,,Deployed,,70,10/01/10,,USD,
1,Printer,153,MYD,,Epson LX-452,NORTHCOAST MYD,G8GY555665,,Deployed,,70,10/01/10,,USD,
1,Printer,154,NBO,,Epson LX-453,NORTHLINE ICRC,G8GY557168,,Deployed,,70,10/01/10,,USD,
1,Printer,155,NBO,,Epson LX-454,ODAY TRAVEL TOWN BRANCH,G8GY549297,,Deployed,,70,10/01/10,,USD,
1,Printer,156,NBO,,Epson LX-455,PALBINA TRAVEL LTD,G8GY548898,,Deployed,,70,10/01/10,,USD,
1,Printer,157,KSM,,Epson LX-456,PEL TRAVEL ,G8GY204921,,Deployed,,70,10/01/10,,USD,
1,Printer,158,NBO,,Epson LX-457,PINACCLE,G8GY548896,,Deployed,,70,10/01/10,,USD,
1,Printer,159,NBO,,Epson LX-458,PRIVATE SAFARIS NBO,G8GY314363,,Deployed,,70,10/01/10,,USD,
1,Printer,160,NBO,,Epson LX-459,RAYDOLL TRAVEL,G8GY548866,,Deployed,,70,10/01/10,,USD,
1,Printer,161,NBO,,Epson LX-460,RICKSHAW TRAVEL,G8GY555686,,Deployed,,70,10/01/10,,USD,
1,Printer,162,NBO,,Epson LX-461,ROEH TOURS,G8GY557196,,Deployed,,70,10/01/10,,USD,
1,Printer,163,NBO,,Epson LX-462,ROSKAR TRAVEL LTD,G8GY549293,,Deployed,,70,10/01/10,,USD,
1,Printer,164,NBO,,Epson LX-463,RUH TRAVEL,G8GY740798,,Deployed,,70,10/01/10,,USD,
1,Printer,165,NBO,,Epson LX-464,SABLE EXPRESS/SAFETY TRAVEL,G8GY555646,,Deployed,,70,10/01/10,,USD,
1,Printer,166,NBO,,Epson LX-465,SARANG TRAVEL,G8GY314640,,Deployed,,70,10/01/10,,USD,
1,Printer,167,NBO,,Epson LX-466,SATGURU UPPERHILL,G8GY202485,,Deployed,,70,10/01/10,,USD,
1,Printer,168,NBO,,Epson LX-467,SATGURU UPPERHILL,G8GY315189,,Deployed,,70,10/01/10,,USD,
1,Printer,169,NBO,,Epson LX-468,SATGURU UPPERHILL,G8GY556810,,Deployed,,70,10/01/10,,USD,
1,Printer,170,NBO,,Epson LX-469,SATGURU UPPERHILL,G8GY666799,,Deployed,,70,10/01/10,,USD,
1,Printer,171,NBO,,Epson LX-470,SEA ROCK TRAVEL,G8GY548885,,Deployed,,70,10/01/10,,USD,
1,Printer,172,NBO,,Epson LX-471,SELAM TRAVEL,G8GY555492,,Deployed,,70,10/01/10,,USD,
1,Printer,173,NUU,,Epson LX-472,SELECT TRAVEL,G8GY557167,,Deployed,,70,10/01/10,,USD,
1,Printer,174,NBO,,Epson LX-473,SENATOR TRAVEL SERVICES LTD,G8GY741220,,Deployed,,70,10/01/10,,USD,
1,Printer,175,NBO,,Epson LX-474,SHAH TRAVEL,G8GY549070,,Deployed,,70,10/01/10,,USD,
1,Printer,176,THIKA,,Epson LX-475,SHIAN THIKA,G8GY315175,,Deployed,,70,10/01/10,,USD,
1,Printer,177,NBO,,Epson LX-476,SHIAN TRAVEL,G8GY314666,,Deployed,,70,10/01/10,,USD,
1,Printer,178,NBO,,Epson LX-477,SHIAN TRAVEL UPPERHILL,G8GY742884,,Deployed,,70,10/01/10,,USD,
1,Printer,179,MBA,,Epson LX-478,SHIMASY,G8GY557193,,Deployed,,70,10/01/10,,USD,
1,Printer,180,KSM,,Epson LX-479,SHIVA TRAVEL,G8GY204222,,Deployed,,70,10/01/10,,USD,
1,Printer,181,NBO,,Epson LX-480,SHOOR TRAVEL,G8GY557189,,Deployed,,70,10/01/10,,USD,
1,Printer,182,NBO,,Epson LX-481,SILVERBIRD TRAVEL,G8GY315853,,Deployed,,70,10/01/10,,USD,
1,Printer,183,MBA,,Epson LX-482,SIMOUN,G8GY204918,,Deployed,,70,10/01/10,,USD,
1,Printer,184,NBO,,Epson LX-483,SIMOUN TRAVEL,G8GY314670,,Deployed,,70,10/01/10,,USD,
1,Printer,185,NBO,,Epson LX-484,SKY TRAVEL,G8GY556808,,Deployed,,70,10/01/10,,USD,
1,Printer,186,NBO,,Epson LX-485,SKYVIEW TRAVEL LTD,G8GY739993,,Deployed,,70,10/01/10,,USD,
1,Printer,187,MBA,,Epson LX-486,SOMAK,G8GY549132,,Deployed,,70,10/01/10,,USD,
1,Printer,188,NBO,,Epson LX-487,SOMAK TRAVEL,G8GY549281,,Deployed,,70,10/01/10,,USD,
1,Printer,189,NBO,,Epson LX-488,SPEEDBIRD TRAVEL,G8GY741813,,Deployed,,70,10/01/10,,USD,
1,Printer,190,NBO,,Epson LX-489,STAR TRAVEL,G8GY204930,,Deployed,,70,10/01/10,,USD,
1,Printer,191,NBO,,Epson LX-490,TAIPAN VACATIONS,G8GY204232,,Deployed,,70,10/01/10,,USD,
1,Printer,192,NBO,,Epson LX-491,TAMANA PARKLANDS,G8GY314702,,Deployed,,70,10/01/10,,USD,
1,Printer,193,NBO,,Epson LX-492,TAMANA TRAVEL,G8GY74811,,Deployed,,70,10/01/10,,USD,
1,Printer,194,KSM,,Epson LX-493,TAMANA TRAVEL KISUMU,G8GY555780,,Deployed,,70,10/01/10,,USD,
1,Printer,195,NUU,,Epson LX-494,TAYLER TRAVEL,G8GY209766,,Deployed,,70,10/01/10,,USD,
1,Printer,196,NBO,,Epson LX-495,THE TICKET COMPANY,G8GY741805,,Deployed,,70,10/01/10,,USD,
1,Printer,197,NBO,,Epson LX-496,THE TRAVEL MART LTD,G8GY549266,,Deployed,,70,10/01/10,,USD,
1,Printer,198,NBO,,Epson LX-497,TRAVEL AFFAIRS LTD,G8GY315170,,Deployed,,70,10/01/10,,USD,
1,Printer,199,NBO,,Epson LX-498,TRAVEL ASSOCIATES,G8GY549296,,Deployed,,70,10/01/10,,USD,
1,Printer,200,MBA,,Epson LX-499,TRAVEL ASSOCIATES,G8GY555505,,Deployed,,70,10/01/10,,USD,
1,Printer,201,NBO,,Epson LX-500,TRAVEL ASSOCIATES,G8GY557195,,Deployed,,70,10/01/10,,USD,
1,Printer,202,NBO,,Epson LX-501,TRAVEL CARE LTD,G8GY555682,,Deployed,,70,10/01/10,,USD,
1,Printer,203,NBO,,Epson LX-502,TRAVEL HIVE,G8GY315843,,Deployed,,70,10/01/10,,USD,
1,Printer,204,NBO,,Epson LX-503,TRAVEL N' STYLE  SOUTH C,G8GY555800,,Deployed,,70,10/01/10,,USD,
1,Printer,205,NBO,,Epson LX-504,TRAVEL N' STYLE PARLANDS,G8GY555651,,Deployed,,70,10/01/10,,USD,
1,Printer,206,NBO,,Epson LX-505,TRAVEL PLAZA LTD,G8GY741218,,Deployed,,70,10/01/10,,USD,
1,Printer,207,NBO,,Epson LX-506,TRAVELLERS DEN,G8GY742227,,Deployed,,70,10/01/10,,USD,
1,Printer,208,NBO,,Epson LX-507,TRIPPLE TOURS TRAVEL,G8GY557191,,Deployed,,70,10/01/10,,USD,
1,Printer,209,NBO,,Epson LX-508,TULIP TRAVEL,G8GY557180,,Deployed,,70,10/01/10,,USD,
1,Printer,210,NBO,,Epson LX-509,TWIGA CAR HIRE & TOURS LTD,G8GY315830,,Deployed,,70,10/01/10,,USD,
1,Printer,211,NBO,,Epson LX-510,TWIGA GALLERIA ,G8GY556804,,Deployed,,70,10/01/10,,USD,
1,Printer,212,MBA,,Epson LX-511,UNIFORM,G8GY315837,,Deployed,,70,10/01/10,,USD,
1,Printer,213,MBA,,Epson LX-512,VOGUE,G8GY315855,,Deployed,,70,10/01/10,,USD,
1,Printer,214,NBO,,Epson LX-513,WILD BREEZE,G8GY555650,,Deployed,,70,10/01/10,,USD,
1,Printer,215,NBO,,Epson LX-514,WILDERNESS ESCAPE,G8GY314707,,Deployed,,70,10/01/10,,USD,
1,Printer,216,NBO,,Epson LX-515,WINTHROP,G8GY314643,,Deployed,,70,10/01/10,,USD,
1,Printer,217,NBO,,Epson LX-516,WORLD EXPLORER,G8GY557188,,Deployed,,70,10/01/10,,USD,
2,Desktop,1,NBO,,HP DESKTOPS,ACHARYA TRAVEL MAIN,CZC0404GSX,3CQ030CCJZ,Deployed,,270,10/01/10,,USD,
2,Desktop,2,NBO,,HP DESKTOPS,ACHARYA TRAVEL MAIN,CZC0404GTO,3CQ030CL7G,Deployed,,270,10/01/10,,USD,
2,Desktop,3,NBO,,HP DESKTOPS,ACHARYA TRAVEL MAIN,CZC0404GTP,3CQ030CCNC,Deployed,,270,10/01/10,,USD,
2,Desktop,4,NBO,,HP DESKTOPS,ACHARYA TRAVEL MAIN,CZC0404GTW,3CQ030CCG7,Deployed,,270,10/01/10,,USD,
2,Desktop,5,NBO,,HP DESKTOPS,ACHARYA TRAVEL MAIN,CZC0404GX5,3CQ030CCK1,Deployed,,270,10/01/10,,USD,
2,Desktop,6,NBO,,HP DESKTOPS,ACHARYA TRAVEL MAIN,CZC0404GXF,3CQ030CL67,Deployed,,270,10/01/10,,USD,
2,Desktop,7,NBO,,HP DESKTOPS,ACHARYA TRAVEL MAIN,CZC0404GXM,3CQ030CCFF,Deployed,,270,10/01/10,,USD,
2,Desktop,8,NBO,,HP DESKTOPS,ACHARYA TRAVEL MAIN,CZC0404GY4,CNC4160PMC,Deployed,,270,10/01/10,,USD,
